1621558270.972689,s1-eth1,5893700.00,64944.00,5958644.00,64944,5893700,1075.00,984.00,2059.00,984,1075,0.00,0.00,0,0
1621558270.972720,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558270.972744,s2-eth2,65304.00,5893340.00,5958644.00,5893340,65304,986.00,1073.00,2059.00,1073,986,0.00,0.00,0,0
1621558270.972775,s1-eth2,65124.00,5893520.00,5958644.00,5893520,65124,985.00,1074.00,2059.00,1074,985,0.00,0.00,0,0
1621558270.972800,total,17879706.00,17878674.00,35758380.00,17878674,17879706,6198.00,6191.00,12389.00,6191,6198,0.00,0.00,0,0
1621558271.972999,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558271.973097,s3-eth1,5984058.00,66000.00,6050058.00,66000,5984058,1089.00,1000.00,2089.00,1000,1089,0.00,0.00,0,0
1621558271.973148,s3-eth2,66114.00,5989916.00,6056030.00,5989916,66114,1000.00,1090.00,2090.00,1090,1000,0.00,0.00,0,0
1621558271.973225,s2-eth1,5984058.00,65934.00,6049992.00,65934,5984058,1089.00,999.00,2088.00,999,1089,0.00,0.00,0,0
1621558271.973260,s1-eth1,5984058.00,65934.00,6049992.00,65934,5984058,1089.00,999.00,2088.00,999,1089,0.00,0.00,0,0
1621558271.973294,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558271.973321,s2-eth2,65934.00,5984058.00,6049992.00,5984058,65934,999.00,1089.00,2088.00,1089,999,0.00,0.00,0,0
1621558271.973356,s1-eth2,65934.00,5984058.00,6049992.00,5984058,65934,999.00,1089.00,2088.00,1089,999,0.00,0.00,0,0
1621558271.973400,total,18150156.00,18155900.00,36306056.00,18155900,18150156,6265.00,6266.00,12531.00,6266,6265,0.00,0.00,0,0
1621558272.973728,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558272.973776,s3-eth1,5970828.00,65670.00,6036498.00,65670,5970828,1086.00,995.00,2081.00,995,1086,0.00,0.00,0,0
1621558272.973859,s3-eth2,65736.00,5978200.00,6043936.00,5978200,65736,996.00,1088.00,2084.00,1088,996,0.00,0.00,0,0
